(Total Revenue, '176,251,000', '168,088,000', '143,015,000', '125,843,000' '110,360,000')
         447116 function calls (430612 primitive calls) in 3.126 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51037    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    50645    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
42932/39054    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    18048    0.004    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
    14843    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
    13099    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    11073    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     9286    0.002    0.000    0.006    0.000 sre_parse.py:254(get)
     8651    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7598    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
     7550    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     7481    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     7455    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     7285    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     6874    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6226    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5569    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5262    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
     4732    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     4084    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4039    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3888    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3784    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
 3286/142    0.009    0.000    0.021    0.000 sre_compile.py:71(_compile)
 3238/266    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
     3206    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     3206    0.001    0.000    0.001    0.000 abc.py:96(__instancecheck__)
     3081    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     2906    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2877    0.002    0.000    0.007    0.000 __init__.py:555(endData)
     2838    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
 2837/149    0.015    0.000    0.047    0.000 sre_parse.py:493(_parse)
     2824    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
 2785/528    0.004    0.000    0.007    0.000 element.py:2156(_matches)
     2591    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2507    0.003    0.000    0.003    0.000 element.py:158(setup)
     2502    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2471    0.000    0.000    0.001    0.000 element.py:2023(_normalize_search_value)
     2410    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2278    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     2251    0.000    0.000    0.002    0.000 css_parser.py:319(match)
     1789    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
     1630    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1597    0.000    0.000    0.000    0.000 element.py:1882(descendants)
     1544    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1397    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1338    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1332    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
     1305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1259    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1259    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
     1259    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
